name,description,brand,size_by_ml,six,type,old_price,price
amber romance,"amber romance by victoria's secret for women - body mist, 250ml",victoria's secret ,250,women,na,60.10,60.10
mademoiselle ricci,"mademoiselle ricci by nina ricci for women - eau de parfum, 50 ml",nina ricci ,50,women,parfum,473.00 SAR,121.88
omnia,"omnia by bvlgari for women - eau de parfum, 65ml",bvlgari ,65,women,parfum,247.95,247.95
oud wood,"oud wood by tom ford for unisex - eau de parfum, 50 ml",tom ford ,50,unisex,parfum,730.65,730.65
velvet tender oud,"velvet tender oud by dolce & gabbana for unisex - eau de parfum, 50 ml",dolce & gabbana ,50,unisex,parfum,480.23,480.23
elizabeth arden green tea lavender 100,elizabeth arden green tea lavender 100 for women eau de toilette 100ml,na,100,women,toilette,68.89,68.89
pour homme dylan blue,"pour homme dylan blue by versace for men - eau de toilette, 200 ml",versace ,200,men,toilette,280.99,280.99
zegna intenso,"zegna intenso by ermenegildo zegna for men - eau de toilette, 100 ml",ermenegildo zegna ,100,men,toilette,148.48,148.48
lacoste l.12.12 noir intense eau de toilette - 100ml,lacoste l.12.12 noir intense eau de toilette - 100ml,na,100,na,toilette,125.48,125.48
hermes twilly d' hermes,hermes twilly d' hermes for women 85ml - eau de parfum,na,85,women,parfum,279.00,279.00
1 million paco rabanne,"1 million paco rabanne for men - eau de toilette, 100ml",na,100,men,toilette,239.98,239.98
mukhallat fajjar eau de parfum 3ml,mukhallat fajjar eau de parfum 3ml for unisex  arabian oud,na,3,unisex,parfum,84.00 SAR,81.98
insolence,"insolence by guerlain for women - eau de parfum, 100ml",guerlain ,100,women,parfum,275.96,275.96
gucci bloom,gucci bloom for women 150ml - eau de parfum,na,150,women,parfum,390.00,390.00
miss dior absolutely blooming,"miss dior absolutely blooming by christian dior for women - eau de parfum, 100ml",christian dior ,100,women,parfum,499.00,499.00
amo ferragamo,"amo ferragamo by salvatore ferragamo for women - eau de parfum, 100ml",salvatore ferragamo ,100,women,parfum,149.49,149.49
black saffron,"black saffron by byredo for unisex - eau de parfum, 100 ml",byredo ,100,unisex,parfum,794.05,794.05
miss dior hair mist,"miss dior hair mist by christian dior for women - eau de parfum, 30 ml",christian dior ,30,women,parfum,205.74,205.74
charriol pour homme,charriol pour homme by charriol 100ml eau de parfum,charriol 100ml eau de parfum,100,na,parfum,473.00 SAR,122.93
"vera wang toilette princess,eau de toilette, 100 ml","vera wang toilette princess,eau de toilette, 100 ml",na,100,na,toilette,483.00 SAR,136.78
sheikh al oud,"sheikh al oud for men - eau de parfum, 100ml",na,100,men,parfum,43.95,43.95
la vie est belle florale,"la vie est belle florale by lancome for woman - eau de toilette, 50 ml",lancome ,50,na,toilette,254.49,254.49
s.t dupont,"s.t dupont for woman - eau de parfum, 100ml",na,100,na,parfum,87.98,87.98
jolia perfume,"jolia perfume by julia robenson for women , 100ml, eau de parfum",julia robenson ,100,women,parfum,116.00 SAR,50.18
black xs potion for him,"black xs potion for him by paco rabanne for men - eau de toilette, 100ml",paco rabanne ,100,men,toilette,158.21,158.21
"jimmy choo illicit flower, eau de toilette, 100 ml","jimmy choo illicit flower, eau de toilette, 100 ml",na,100,na,toilette,399.00 SAR,187.85
"raouaa intenseby arabian oud ,unisex , 12 ml , 102020012-1","raouaa intenseby arabian oud ,unisex , 12 ml , 102020012-1","arabian oud ,unisex , 12 ml , 102020012-1",12,unisex,na,105.00 SAR,102.48
polo supreme cashemre,"polo supreme cashemre by ralph lauren for men - eau de parfum, 125 ml",ralph lauren ,125,men,parfum,236.97,236.97
lady million,"lady million by paco rabanne for women - eau de parfum, 80 ml",paco rabanne ,80,women,parfum,250.00,250.00
beach hut man,"beach hut man by amouage for men - eau de parfum, 100ml",amouage ,100,men,parfum,699.49,699.49
givenchy pour homme,givenchy pour homme,na,,na,na,149.79,149.79
عطر أحلى كلمات أحمر أو دى بارفان 100 مل نسائي,عطر أحلى كلمات أحمر أو دى بارفان 100 مل نسائي,na,,na,na,73.50 SAR,48.00
my burberry black,my burberry black for men 100 ml,na,100,men,na,159.00,159.00
just,"just by just cavalli for men - eau de toilette, 90 ml",just cavalli ,90,men,toilette,98.97,98.97
quatre intense pour homme,"quatre intense pour homme by boucheron for men - eau de toilette, 100ml",boucheron ,100,men,toilette,290.00 SAR,162.49
epic man amouage,"epic man amouage by amouage for men - eau de parfum, 100ml",amouage ,100,men,parfum,752.00,752.00
givenchy eau de toilette perfume,"givenchy eau de toilette perfume for women , women",na,,women,toilette,304.39,304.39
aromatics in white,"aromatics in white by clinique for women - eau de parfum, 100 ml",clinique ,100,women,parfum,147.35,147.35
modern muse le rouge gloss,"modern muse le rouge gloss by estee lauder for women - eau de parfum, 50 ml",estee lauder ,50,women,parfum,197.99,197.99
guerlain insolence,"guerlain insolence for women -50ml, eau de parfum-",na,50,women,parfum,219.10,219.10
brit rhythm,"brit rhythm by burberry brit for men - eau de toilette, 180ml",burberry brit ,180,men,toilette,276.10,276.10
alien thierry mugler,"alien thierry mugler for women -eau de parfum, 60 ml",na,60,women,parfum,345.45 SAR,225.00
roberto cavalli just 75ml eau de toilette,roberto cavalli just 75ml eau de toilette for women,na,75,women,toilette,383.25 SAR,115.92
paris,"paris by yves saint laurent for women - eau de toilette, 125ml",yves saint laurent ,125,women,toilette,378.00 SAR,357.10
reveal,"reveal by calvin klein for men - eau de toilette, 50 ml",calvin klein ,50,men,toilette,150.00 SAR,77.98
valentino donna,"valentino donna for women - eau de parfum spray, 50ml",na,50,women,parfum,283.00,283.00
212 sexy men,"212 sexy men by carolina herrera for men - eau de parfum, 100ml",carolina herrera ,100,men,parfum,215.80,215.80
paco rabanne invictus intense,paco rabanne invictus intense for men 100ml - eau de parfum,na,100,men,parfum,296.77,296.77
amber roses,"amber roses by mancera for women - eau de parfum, 120 ml",mancera ,120,women,parfum,231.66,231.66
diesel,diesel for women 75ml - eau de toilette,na,75,women,toilette,33.02,33.02
uefa champions league arena edition,"uefa champions league arena edition by adidas for men - eau de toilette, 100 ml",adidas ,100,men,toilette,54.00,54.00
houbigant quelques fleurs,houbigant quelques fleurs for women 100ml - eau de parfum,na,100,women,parfum,253.21,253.21
fan di fendi leather essence,"fan di fendi leather essence by fendi for women - eau de parfum, 75ml",fendi ,75,women,parfum,490.00 SAR,129.00
roses greedy,"roses greedy by mancera for women - eau de parfum, 120 ml",mancera ,120,women,parfum,225.99,225.99
alfrid vernt sapphire isle - eau de parfum -80ml,alfrid vernt sapphire isle - eau de parfum -80ml,na,80,na,parfum,263.00 SAR,146.00
900,"900 by amaris for men - eau de cologne, 100ml",amaris ,100,men,na,83.11,83.11
omnia coral,"omnia coral by bvlgari for women - eau de toilette, 40ml",bvlgari ,40,women,toilette,151.99,151.99
ch privee,"ch privee by carolina herrera for women - eau de parfum, 50ml",carolina herrera ,50,women,parfum,151.98,151.98
escada island kiss,escada island kiss for women -100ml  eau de toillette-limited edition,na,100,women,na,294.00 SAR,179.35
cabotine rose,"cabotine rose by gres for women - eau de toilette, 100ml",gres ,100,women,toilette,64.98,64.98
valentino valentino valentino uomo feutre edtn (m) edt 100 ml,valentino valentino valentino uomo feutre edtn (m) edt 100 ml for men 100 ml - eau de toilette,na,100,men,toilette,222.08,222.08
rumba,"rumba for women- eau de toillte, 100 ml",na,100,women,na,78.94,78.94
santos de,"santos de by cartier for men - eau de toilette, 100 ml",cartier ,100,men,toilette,181.13,181.13
e.u ungaro pour l'homme iii men edt 100 ml,e.u ungaro pour l'homme iii men edt 100 ml,na,100,men,na,179.00 SAR,86.69
ahlam al khaleej,"ahlam al khaleej for unisex - eau de parfum, 80ml",na,80,unisex,parfum,120.00 SAR,52.96
sun java white,"sun java white by franck olivier for women - eau de parfum, 75 ml",franck olivier ,75,women,parfum,273.00 SAR,72.06
guess,"guess by guess for women - eau de parfum, 75ml",guess ,75,women,parfum,76.36,76.36
"alfred dunhill london ,eau de toilette spray","alfred dunhill london ,eau de toilette spray for men, 100ml",na,100,men,toilette,95.98,95.98
cartier declaration,cartier declaration for men 100ml - eau de toilette,na,100,men,toilette,131.97,131.97
if,if for man edp 100ml,na,100,na,na,96.00,96.00
because it's you,"because it's you by emporio armani for women - eau de parfum, 50ml",emporio armani ,50,women,parfum,249.48,249.48
sport,"sport by burberry for women - eau de toilette, 50ml",burberry ,50,women,toilette,115.00,115.00
212 vip club edition,"212 vip club edition by carolina herrera for women - eau de toilette, 80ml",carolina herrera ,80,women,toilette,223.98,223.98
shahrazad,"shahrazad for unisex, eau de parfum, 100 ml",na,100,unisex,parfum,116.00 SAR,38.98
mercedes benz club,mercedes benz club by mercedes benz 100ml eau de toilette,mercedes benz 100ml eau de toilette,100,na,toilette,104.75,104.75
montale  oud perfume,"montale  oud perfume for men , men",na,,men,na,356.00 SAR,260.00
angel schlesser absolute oriental,"angel schlesser absolute oriental for women -100ml, eau de toilette",na,100,women,toilette,79.73,79.73
valentino valentina myrrh assoluto,"valentino valentina myrrh assoluto for women, eau de parfum, 80 ml",na,80,women,parfum,277.07,277.07
boss femme,"boss femme by hugo boss for women - eau de parfum, 75ml",hugo boss ,75,women,parfum,128.48,128.48
yes i am the king,"yes i am the king by geparlys for men - eau de toilette, 100 ml",geparlys ,100,men,toilette,74.98,74.98
armani si intense,"armani si intense by giorgio armani for women - eau de parfum, 50ml",giorgio armani ,50,women,parfum,246.25,246.25
ralph lauren romance eau de parfum,ralph lauren romance eau de parfum for women 100ml,na,100,women,parfum,467.25 SAR,467.00
black xs potion for her,"black xs potion for her by paco rabanne for women - eau de toilette, 80ml",paco rabanne ,80,women,toilette,221.00,221.00
collection extrodinaire orchidee vanille,"collection extrodinaire orchidee vanille by van cleef & arpels, 75ml, eau de parfum","van cleef & arpels, 75ml, eau de parfum",75,na,parfum,351.99,351.99
royal musk,"royal musk by arabian oud ,unisex , 12 ml , 101020029-1","arabian oud ,unisex , 12 ml , 101020029-1",12,unisex,na,210.00 SAR,204.98
roses vanille,"roses vanille by mancera for women - eau de parfum , 120ml",mancera ,120,women,parfum,223.80,223.80
vetiver bleu,"vetiver bleu by cartier for unisex - eau de toilette, 200 ml",cartier ,200,unisex,toilette,243.90,243.90
212 vip,"212 vip by carolina herrera for men - eau de toilette, 100ml",carolina herrera ,100,men,toilette,243.04,243.04
boss number one,"boss number one by hugo boss for men - eau de toilette, 125ml",hugo boss ,125,men,toilette,146.98,146.98
jean paul gaultier le male essence de parfum - 125 ml,jean paul gaultier le male essence de parfum - 125 ml,na,125,na,parfum,640.00,640.00
goldea,"goldea by bvlgari for women - perfume oil, 90ml",bvlgari ,90,women,na,472.00 SAR,227.00
club,"club by azzaro for men - eau de toilette, 75ml",azzaro ,75,men,toilette,260.00 SAR,194.00
amber imperial unisex perfume,"amber imperial unisex perfume by van cleef & arpels - eau de parfum, 75ml","van cleef & arpels - eau de parfum, 75ml",75,unisex,parfum,304.79,304.79
versace versace eros,versace versace eros for men 100ml - eau de toilette,na,100,men,toilette,206.19,206.19
franck olivier white touch eau de parfum,franck olivier white touch eau de parfum for women - 100 ml,na,100,women,parfum,76.99,76.99
valentino uomo valentino,"valentino uomo valentino for men -eau de toilette, 50 ml-",na,50,men,toilette,462.00 SAR,176.87
aoud orchid,"aoud orchid by mancera unisex perfume - eau de parfum, 120ml","mancera unisex perfume - eau de parfum, 120ml",120,unisex,parfum,256.32,256.32
kenzo jungle homme,kenzo jungle homme by kenzo 100ml eau de toilette,kenzo 100ml eau de toilette,100,na,toilette,150.97,150.97
sensual for women,"sensual for women by johan b, 85 ml","johan b, 85 ml",85,women,na,55.87,55.87
lalique white pour homme,"lalique white pour homme for men (eau de toilette, 125 ml)",na,125,men,toilette,336.00 SAR,92.47
versace blue jeans,versace blue jeans for men 75ml - eau de toilette,na,75,men,toilette,98.85,98.85
tobacco vanille,"tobacco vanille by tom ford for unisex - eau de parfum, 50 ml",tom ford ,50,unisex,parfum,698.00,698.00
guerlain homme,"guerlain homme by guerlain for men -eau de parfum, 100ml",guerlain ,100,men,parfum,208.00 SAR,167.55
knowing perfume,knowing perfume by estee lauder for women 75ml edp,estee lauder ,75,women,na,236.59,236.59
jean paul gaultier classique eau de toilette,jean paul gaultier classique eau de toilette for women 50ml,na,50,women,toilette,289.95,289.95
mercedes benz rose,mercedes benz rose for women 90ml - eau de toilette,na,90,women,toilette,114.99,114.99
calvin klein liquid gold euphoria eau de parfum,"calvin klein liquid gold euphoria eau de parfum for women, 100ml",na,100,women,parfum,247.99,247.99
celebrate now,"celebrate now by escada for women - eau de parfum, 80ml",escada ,80,women,parfum,147.99,147.99
arabian oud perfume bussma,"arabian oud perfume bussma for men,95ml",na,95,men,na,390.00,390.00
eternity intense,"eternity intense by calvin klein for women - eau de parfum, 50ml",calvin klein ,50,women,parfum,127.00,127.00
montale perfume,"montale perfume for women , eau de parfum , 100ml",na,100,women,parfum,211.00,211.00
cypress cedar,"cypress cedar by banana republic for unisex - eau de parfum, 75ml",banana republic ,75,unisex,parfum,132.98,132.98
nikos sculpture,"nikos sculpture for men, eau de toilette - 100 ml",na,100,men,toilette,50.97,50.97
blue,"blue by issey miyake for men - eau de toilette, 125ml",issey miyake ,125,men,toilette,225.90,225.90
avon rare diamonds eau de parfum,"avon rare diamonds eau de parfum for women, 15ml",na,15,women,parfum,37.00 SAR,24.00
reves victory reves victory,reves victory reves victory for men 100ml - eau de parfum,na,100,men,parfum,48.94,48.94
lanvin oxygen,"lanvin oxygen for men -eau de toilette, 100 ml-",na,100,men,toilette,241.50 SAR,92.19
joop perfume,"joop perfume for men , eau de toilette , 125ml",na,125,men,toilette,93.93,93.93
mukhallat,"mukhallat by montale [100ml,eau de parfum]","montale [100ml,eau de parfum]",100,na,parfum,230.87,230.87
1 million prive,"1 million prive by paco rabanne for men - eau de parfum, 50ml",paco rabanne ,50,men,parfum,195.87,195.87
the brilliant game,"the brilliant game by davidoff for men - eau de toilette, 100 ml",davidoff ,100,men,toilette,389.00 SAR,81.49
cartier baiser vole,"cartier baiser vole by cartier for women, 100ml",cartier ,100,women,na,198.54,198.54
loewe eau de toilette perfume,"loewe eau de toilette perfume for men , men",na,,men,toilette,205.00,205.00
antonio banderas blue seduction,"antonio banderas blue seduction for men - 100ml, eau de toilette",na,100,men,toilette,87.49,87.49
issey miyake l'eau d'issey pour homme,issey miyake l'eau d'issey pour homme for men 100ml - eau de parfum,na,100,men,parfum,398.95,398.95
lancome la vie est belle l'eau de parfum intense,"lancome la vie est belle l'eau de parfum intense for women, 75ml",na,75,women,parfum,380.00,380.00
sacrif ice for her,"sacrif ice for her by ajmal for women - eau de parfum, 50ml",ajmal ,50,women,parfum,73.99,73.99
eclat d'arpege,eclat d'arpege by lanvin eau de parfum for women 100 ml,lanvin eau de parfum ,100,women,parfum,140.57,140.57
aramis concentrate,"aramis concentrate for men -100 ml, eau de toilette-",na,100,men,toilette,92.14,92.14
avon little black dress,avon little black dress for women 50ml - eau de parfum,na,50,women,parfum,176.00,176.00
scholar,"scholar for men - eau de parfum, 100ml",na,100,men,parfum,25.99,25.99
french shalis perfume,"french shalis perfume for men, 100 ml",na,100,men,na,45.14,45.14
legend,"legend by montblanc for men - eau de toilette, 200 ml",montblanc ,200,men,toilette,225.33,225.33
armani code cashmere,"armani code cashmere by giorgio armani for women - eau de parfum, 75 ml",giorgio armani ,75,women,parfum,319.20,319.20
davidoff cool water wave,"davidoff cool water wave for women - eau de toilette, 100ml",na,100,women,toilette,117.95,117.95
diesel zero plus,diesel zero plus for women 75ml - eau de toilette,na,75,women,toilette,49.98,49.98
especialy escada elixir,"especialy escada elixir by escada for women - eau de parfum, 50ml",escada ,50,women,parfum,88.98,88.98
signorina eleganza,"signorina eleganza by salvatore ferragamo ,100 ml , eau de parfum","salvatore ferragamo ,100 ml , eau de parfum",100,na,parfum,164.64,164.64
missoni missoni parfum p/h,missoni missoni parfum p/h for men 100ml - eau de parfum,na,100,men,parfum,249.10,249.10
accento,"accento by sospiro for women - eau de parfum, 100ml",sospiro ,100,women,parfum,488.00,488.00
narciso rodriguez,"narciso rodriguez for her for women -eau de parfum, 100ml-",na,100,women,parfum,357.99,357.99
tuscan leather,"tuscan leather by tom ford for men and women - eau de parfum, 100 ml",tom ford ,100,unisex,parfum,"1,180.85","1,180.85"
laura classic,"laura classic by chevas for women - eau de parfum, 100ml",chevas ,100,women,parfum,135.00 SAR,55.00
secret de rochas rose intense,"secret de rochas rose intense by rochas for woman - eau de parfum, 100 ml",rochas ,100,na,parfum,99.80,99.80
lattafa  dehen aloud aslobi  ,"lattafa  dehen aloud aslobi   for ,unisex , 100 ml , eau de parfum",na,100,unisex,parfum,53.49,53.49
la perla la perla j'aime elixir,la perla la perla j'aime elixir for women 100ml - eau de parfum,na,100,women,parfum,199.00 SAR,81.67
l' homme,"l' homme by yves saint laurent for men - eau de toilette, 200ml",yves saint laurent ,200,men,toilette,417.98,417.98
st dupont pour femme,st dupont pour femme by st dupont 100ml eau de parfum,st dupont 100ml eau de parfum,100,na,parfum,96.96,96.96
roberto cavalli florence,roberto cavalli florence for women 50 ml - eau de parfum,na,50,women,parfum,113.98,113.98
paris saint germain intense,"paris saint germain intense by s.t.dupont for men - eau de toilette, 100ml,da027a01",s.t.dupont ,100,men,toilette,410.00 SAR,259.98
donna trussardi 2011 trussardi,"donna trussardi 2011 trussardi for women - 100ml, eau de parfum",na,100,women,parfum,154.55,154.55
jeanne,jeanne by lanvin 100ml l authentic fragrances by pandora's box l,lanvin 100ml l authentic fragrances ,100,na,na,114.14,114.14
aspen,"aspen by jovan for men - eau de cologne, 118 ml",jovan ,118,men,na,38.00,38.00
eau parfumee au the bleu,"eau parfumee au the bleu by bvlgari unisex perfume - eau de cologne, 75ml","bvlgari unisex perfume - eau de cologne, 75ml",75,unisex,parfum,283.95,283.95
kim kardashian gold,"kim kardashian gold by kim kardashian for women - eau de parfum, 100ml",kim kardashian ,100,women,parfum,107.78,107.78
love story eau sensuelle,"love story eau sensuelle by chloe for women - eau de parfum, 75ml",chloe ,75,women,parfum,234.18,234.18
zahrat al lotus,"zahrat al lotus for women - eau de parfum, 100ml",na,100,women,parfum,120.00 SAR,82.17
lattafa  khaltat alarabia royal blends  ,"lattafa  khaltat alarabia royal blends   for ,unisex , 100 ml , eau de parfum",na,100,unisex,parfum,116.00 SAR,39.92
christian dior j'adore,christian dior j'adore for women 40ml - perfume mist,na,40,women,na,193.98,193.98
solid,"solid by arabian oud for men , eau de parfum , 75ml",arabian oud ,75,men,parfum,480.00,480.00
karl lagerfeld bois de vetiver perfum,"karl lagerfeld bois de vetiver perfum for men - eau de toilette, size 100 ml",na,100,men,toilette,336.00 SAR,108.45
issey miyake l'eau d'issey 50 ml,issey miyake l'eau d'issey 50 ml for women 50ml - eau de toilette,na,50,women,toilette,114.38,114.38
valvet orchid,"valvet orchid by beauty richa parfum for women , 100 ml",beauty richa parfum ,100,women,parfum,126.00 SAR,52.49
gentelman classic,"gentelman classic by chevas for men - eau de parfum, 100ml",chevas ,100,men,parfum,145.00 SAR,55.00
dune,dune by christian dior 1.7 oz 50 ml edt spray women,christian dior 1.7 oz 50 ml edt spray women,50,women,na,475.00,475.00
gucci guilty studs pour homme,"gucci guilty studs pour homme by gucci for men - eau de toilette, 90ml",gucci ,90,men,toilette,278.48,278.48
dior addict eau delice,"dior addict eau delice by christian dior for women - eau de toilette, 100 ml",christian dior ,100,women,toilette,576.00,576.00
jaguar evolution eau de toilette,"jaguar evolution eau de toilette for men,100 ml",na,100,men,toilette,133.00,133.00
oud al khaleej perfume,"oud al khaleej perfume by arabian oud, unisex, 50ml, 301020401","arabian oud, unisex, 50ml, 301020401",50,unisex,na,420.00,420.00
flora 1966,"flora 1966 by gucci for women - eau de parfum, 100 ml",gucci ,100,women,parfum,479.64,479.64
santal royal guerlain,santal royal guerlain for women and men 125ml,na,125,unisex,na,333.25,333.25
gucci acqua di fiori,gucci acqua di fiori for women 50ml - eau de toilette,na,50,women,toilette,286.87,286.87
thierry mugler alien power of gold limited edition,"thierry mugler alien power of gold limited edition for women -60ml, eau de parfum-",na,60,women,parfum,251.49,251.49
calvin klein euphoria amber gold,calvin klein euphoria amber gold for women 100ml - eau de parfum,na,100,women,parfum,157.76,157.76
al rasasi eau de parfum perfume,"al rasasi eau de parfum perfume for men , men",na,,men,parfum,74.00,74.00
other eau de parfum perfume,"other eau de parfum perfume for unisex , unisex",na,,unisex,parfum,43.89,43.89
"thierry mugler alien perfume ,  30 ml , women","thierry mugler alien perfume ,  30 ml , women",na,30,women,na,146.43,146.43
laitak ma'e perfume,"laitak ma'e perfume by lattafa for orental , 100ml , eau de parfum -11212",lattafa ,100,na,parfum,116.00 SAR,40.99
s.t.dupont eau de parfum perfume,"s.t.dupont eau de parfum perfume for women , women",na,,women,parfum,273.00 SAR,92.84
aljefri musk,"aljefri musk for unisex -eau de parfum, 100 ml",na,100,unisex,parfum,262.50 SAR,153.59
hugo boss the scent,"hugo boss the scent for her- eau de parfum, 100ml",na,100,na,parfum,183.87,183.87
silver mountain water,"silver mountain water by creed for unisex - eau de parfum, 120 ml",creed ,120,unisex,parfum,811.98,811.98
bulgari au the noir,bulgari au the noir for unisex 75ml - eau de cologne,na,75,unisex,na,259.45,259.45
paris wood intense,paris wood intense for women  - eau de parfum - 100ml,na,100,women,parfum,263.00 SAR,89.97
armand basi in red,armand basi in red for women 100ml - eau de toilette,na,100,women,toilette,180.00 SAR,102.68
l'extase caresse de roses,"l'extase caresse de roses by nina ricci for women - eau de parfum, 80 ml",nina ricci ,80,women,parfum,456.00 SAR,151.98
narciso rodriguez,"narciso rodriguez for her for women -eau de parfum, 50 ml-",na,50,women,parfum,494.00 SAR,253.18
petits et mamans,"petits et mamans by bvlgari for boys - eau de toilette, 100ml",bvlgari ,100,na,toilette,183.75 SAR,158.97
korloff lady korloff paris,"korloff lady korloff paris for women -88 ml, perfum -",na,88,women,na,122.54,122.54
saphire concentratoe perfume,"saphire concentratoe perfume by julia robenson for men , 100 ml , eau de parfum -11215",julia robenson ,100,men,parfum,116.00 SAR,59.99
lattafa gift shahrazad 2 pieces,"lattafa gift shahrazad 2 pieces for ,women , 100 ml , eau de parfum",na,100,women,parfum,126.00 SAR,58.49
"chanel antaeus pour homme edt, 100ml","chanel antaeus pour homme edt, 100ml",na,100,na,na,379.98,379.98
creed royal water for men 120 ml eau de parfum,creed royal water for men 120 ml eau de parfum by creed,creed,120,men,parfum,869.13,869.13
christian dior dior star limited edition,"christian dior dior star limited edition for women -50ml, eau de toilette,",na,50,women,toilette,237.99,237.99
plaisir parfum for women,"plaisir parfum for women by j.casanova , eau de parfum , 100ml","j.casanova , eau de parfum , 100ml",100,women,parfum,91.99,91.99
franck olivier f,franck olivier f for women 75ml - eau de parfum,na,75,women,parfum,77.00,77.00
essence no. 10 amande tonka,"essence no. 10 amande tonka by elie saab for men & women - eau de parfum, 100ml",elie saab ,100,unisex,parfum,393.98,393.98
journey,"journey by amouage for women - eau de parfum, 100 ml",amouage ,100,women,parfum,678.49,678.49
roberto cavalli,"roberto cavalli for women - eau de parfum, 75ml",na,75,women,parfum,525.00 SAR,94.63
givenchy live irresistible perfume,"givenchy live irresistible perfume for women , 75ml , eau de parfum",na,75,women,parfum,231.98,231.98
christian dior hypnotic poison eau sensuelle,"christian dior hypnotic poison eau sensuelle for women- eau de toilette, 50ml",na,50,women,toilette,349.00,349.00
lacoste blanc set pour homme eau de toilette,lacoste blanc set pour homme eau de toilette for men-100 ml,na,100,men,toilette,119.97,119.97
escada born in paradise eau de toilette,escada born in paradise eau de toilette for women 100ml,na,100,women,toilette,384.00 SAR,200.85
lalique encre noire cologne eau de toilette,lalique encre noire cologne eau de toilette for men 100 ml,na,100,men,toilette,108.00,108.00
roberto cavalli,"roberto cavalli by roberto cavalli for women - eau de parfum, 50 ml",roberto cavalli ,50,women,parfum,405.00 SAR,91.73
lapidus,"lapidus for men -eau de toilette, 100 ml-",na,100,men,toilette,68.92,68.92
emper gorgouse edp,emper gorgouse edp for women 80 ml,na,80,women,na,84.00 SAR,50.00
reves primero,reves primero for unisex 100ml - eau de parfum,na,100,unisex,parfum,39.48,39.48
versace versace eros,versace versace eros for women 5ml - eau de parfum,na,5,women,parfum,18.87,18.87
musk of flower,"musk of flower by mancera for women - eau de parfum, 120ml",mancera ,120,women,parfum,256.00,256.00
justin bieber justin bieber girlfriend,justin bieber justin bieber girlfriend for women 50ml - eau de parfum,na,50,women,parfum,56.98,56.98
comme de garcon 2,"comme de garcon 2 for women -eau de parfum, 100 ml-",na,100,women,parfum,410.00 SAR,320.20
rose wood,"rose wood by arabian oud for women , eau de parfum , 100ml",arabian oud ,100,women,parfum,420.00,420.00
s.t. dupont essence pure eau de toilette,s.t. dupont essence pure eau de toilette for women,na,,women,toilette,88.82,88.82
julia robenson wild,julia robenson wild for man perfume for men 100ml - eau de parfum,na,100,men,parfum,126.00 SAR,59.99
especially elixir,"especially elixir by escada for women - eau de parfum, 75ml",escada ,75,women,parfum,150.94,150.94
lalique amethyst,lalique amethyst for women edp - 100ml,na,100,women,na,105.08,105.08
excellence,"excellence by jaguar for men - eau de toilette, 100ml",jaguar ,100,men,toilette,220.50 SAR,83.00
omnia crystalline,"omnia crystalline by bvlgari for women - eau de parfum, 65ml",bvlgari ,65,women,parfum,203.37,203.37
ambition edp perfume men 70 ml,ambition edp perfume men 70 ml,na,70,men,na,87.97,87.97
colour me pink,colour me pink,na,,na,na,56.75,56.75
terre d'hermes,"terre d'hermes for men eau de parfum , 200 ml",na,200,men,parfum,769.35,769.35
calvin klein ck free,calvin klein ck free for men 100ml - eau de toilette,na,100,men,toilette,119.98,119.98
musk malaki,"musk malaki by chopard for men - eau de parfum, 80ml",chopard ,80,men,parfum,429.00 SAR,211.92
elie saab girl of now,elie saab girl of now for women 50ml - eau de parfum,na,50,women,parfum,199.48,199.48
lalique amethyst,"lalique amethyst by lalique for women - eau de parfum, 100ml",lalique ,100,women,parfum,140.00,140.00
la perla j'aime eau de parfum,la perla j'aime eau de parfum for women 100 ml,na,100,women,parfum,69.88,69.88
fidji,fidji by guy laroche eau de toilette for women 100ml,guy laroche eau de toilette ,100,women,toilette,220.49,220.49
prada candy,"prada candy by prada for women -eau de parfum, 80ml",prada ,80,women,parfum,274.69,274.69
gentlemen only absolute,"gentlemen only absolute by givenchy for men - eau de parfum, 50ml",givenchy ,50,men,parfum,209.79,209.79
narcisso rodriquez,"narcisso rodriquez for women - eau de parfum, 100 ml",na,100,women,parfum,345.00,345.00
coco mademoiselle intense,"coco mademoiselle intense by chanel for women - eau de parfum, 100ml",chanel ,100,women,parfum,686.95,686.95
212 sexy,"212 sexy by carolina herrera for women - eau de parfum spray, 100 ml",carolina herrera ,100,women,parfum,263.80,263.80
black vanilla,"black vanilla by mancera for men & women - eau de parfum, 120ml",mancera ,120,unisex,parfum,465.00,465.00
avon chic in black eau de parfum,"avon chic in black eau de parfum for women, 50ml",na,50,women,parfum,65.00,65.00
kenzo amour,"kenzo amour by kenzo for women (eau de parfum, 100 ml)",kenzo ,100,women,parfum,222.65,222.65
oud alsalama perfume,"oud alsalama perfume for men, eau de parfum 100ml",na,100,men,parfum,45.00,45.00
coach the fragrance,"coach the fragrance by coach for women - eau de toilette, 90ml",coach ,90,women,toilette,447.00 SAR,200.98
360 degree,"360 degree by perry ellis for women - eau de toilette, 200 ml",perry ellis ,200,women,toilette,214.95,214.95
aoud line,aoud line by mancera 120ml eau de parfum,mancera 120ml eau de parfum,120,na,parfum,238.40,238.40
elizabeth arden 5th avenue mujer,"elizabeth arden 5th avenue mujer for women -125 ml, eau de parfum-",na,125,women,parfum,91.10,91.10
armani prive vert malachite giorgio armani,armani prive vert malachite giorgio armani for women and men 100ml,na,100,unisex,na,"1,199.99","1,199.99"
