name,description,brand,size_by_ml,six,type,old_price,price
1 million cologne,"1 million cologne by paco rabanne for men - eau de toilette, 125ml",paco rabanne ,125,men,toilette,378.00 SAR,209.88
white musk,"white musk by jovan for women - eau de cologne , 96ml",jovan ,96,women,na,61.00 SAR,37.99
gucci guilty studs pour femme,"gucci guilty studs pour femme by gucci for women -eau de toilette, 50ml",gucci ,50,women,toilette,346.00 SAR,204.85
boss ma vie pour femme,"boss ma vie pour femme by hugo boss for women - eau de parfum, 75ml",hugo boss ,75,women,parfum,441.00 SAR,130.98
boss bottled sport,"boss bottled sport by hugo boss for men - eau de toilette, 100ml",hugo boss ,100,men,toilette,388.50 SAR,198.75
united colors of benetton hot,"united colors of benetton hot for women -100 ml , eau de toilette",na,100,women,toilette,79.00 SAR,28.90
black orchid,"black orchid by tom ford for women - eau de parfum, 50ml",tom ford ,50,women,parfum,450.00 SAR,278.97
legend sprit,"legend sprit by mont blanc for men - eau de toilette, 100 ml",mont blanc ,100,men,toilette,310.00 SAR,129.98
aqua divina,"aqua divina by bvlgari for women - eau de toilette, 65ml",bvlgari ,65,women,toilette,257.00 SAR,123.98
roses musk,"roses musk by montale for women - eau de parfum, 100 ml",montale ,100,women,parfum,439.00 SAR,222.78
opium pour homme,"opium pour homme by yves saint laurent for men - eau de toilette, 100ml",yves saint laurent ,100,men,toilette,315.00 SAR,174.88
crystal noir,"crystal noir by versace for women - eau de parfum, 50ml",versace ,50,women,parfum,250.00 SAR,141.90
aramis brown,"aramis brown by aramis for men - eau de toilette, 110ml",aramis ,110,men,toilette,276.00 SAR,88.98
eaudemoiselle de givenchy eau fraiche,"eaudemoiselle de givenchy eau fraiche by givenchy for women - eau de toilette, 50ml",givenchy ,50,women,toilette,410.00 SAR,170.00
kalemat,"kalemat by arabian oud for men & women - oud , 100ml",arabian oud ,100,unisex,na,300.00 SAR,239.98
stella 2014,"stella 2014 by stella mccartney for women - eau de parfum, 100 ml",stella mccartney ,100,women,parfum,441.00 SAR,188.79
jaguar vision iii,"jaguar vision iii by jaguar for men - eau de toilette, 100ml",jaguar ,100,men,toilette,195.00 SAR,73.92
aventus,"aventus by creed for men - eau de parfum, 120ml",creed ,120,men,parfum,"1,154.00 SAR",988.97
azure,"azure by bentley for men - eau de toilette, 100ml",bentley ,100,men,toilette,284.00 SAR,98.97
ck2,"ck2 by calvin klein for unisex - eau de toilette, 100ml",calvin klein ,100,unisex,toilette,290.00 SAR,131.33
lacoste love of pink,lacoste love of pink for women 90ml - eau de toilette,na,90,women,toilette,251.00 SAR,125.99
